utcTime,sessionTime,frame,playerPosition,action,hand,hold,details
2026-06-28T00:38:05.3633860Z,5.102,52,"(-0.123,0.987,0.000)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:05.4633140Z,5.214,53,"(-0.119,0.987,-0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:05.5634860Z,5.328,54,"(-0.117,0.987,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:05.6628690Z,5.423,55,"(-0.118,0.985,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:05.7628060Z,5.517,56,"(-0.122,0.982,-0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:05.8631300Z,5.612,57,"(-0.124,0.981,-0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:05.9628940Z,5.703,58,"(-0.127,0.980,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.0633490Z,5.803,59,"(-0.129,0.979,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.1635290Z,5.906,60,"(-0.128,0.979,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.2635140Z,6.023,61,"(-0.127,0.979,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.3631090Z,6.113,62,"(-0.126,0.979,-0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.4634400Z,6.232,63,"(-0.126,0.978,-0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.5629170Z,6.304,64,"(-0.128,0.978,-0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.6637390Z,6.412,65,"(-0.130,0.977,-0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.7632420Z,6.514,66,"(-0.131,0.976,0.000)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:06.8631410Z,6.631,67,"(-0.129,0.977,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.0923810Z,6.899,68,"(-0.127,0.976,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.1887600Z,6.907,69,"(-0.124,0.974,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.3156760Z,7.009,70,"(-0.123,0.974,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.3910080Z,7.130,71,"(-0.125,0.973,0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.4899410Z,7.230,72,"(-0.126,0.972,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.5898430Z,7.316,73,"(-0.128,0.971,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.6898480Z,7.407,74,"(-0.129,0.972,0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.7906270Z,7.523,75,"(-0.130,0.973,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.8897880Z,7.607,76,"(-0.129,0.972,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:07.9903870Z,7.719,77,"(-0.125,0.973,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.0901080Z,7.807,78,"(-0.123,0.974,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.1898670Z,7.907,79,"(-0.127,0.975,-0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.2900460Z,8.022,80,"(-0.131,0.974,0.000)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.3898690Z,8.111,81,"(-0.131,0.976,0.000)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.4901060Z,8.208,82,"(-0.134,0.978,-0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.5904250Z,8.308,83,"(-0.133,0.975,-0.007)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.6901480Z,8.411,84,"(-0.127,0.975,-0.010)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.7902750Z,8.521,85,"(-0.122,0.970,-0.013)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.8897190Z,8.608,86,"(-0.114,0.960,-0.015)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:08.9901080Z,8.728,87,"(-0.106,0.953,-0.010)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.0920950Z,8.817,88,"(-0.101,0.949,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.1902000Z,8.912,89,"(-0.097,0.947,-0.001)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.2900230Z,9.029,90,"(-0.096,0.945,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.3898540Z,9.110,91,"(-0.095,0.942,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.4898760Z,9.219,92,"(-0.094,0.938,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.5898540Z,9.310,93,"(-0.093,0.937,0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.6902090Z,9.432,94,"(-0.092,0.936,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.7896880Z,9.510,95,"(-0.091,0.936,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.8899650Z,9.616,96,"(-0.091,0.936,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:09.9898540Z,9.711,97,"(-0.092,0.937,0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.0902900Z,9.823,98,"(-0.094,0.939,0.006)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.1899900Z,9.914,99,"(-0.098,0.945,0.007)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.2900130Z,10.035,100,"(-0.101,0.954,0.009)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.3903250Z,10.126,101,"(-0.104,0.967,0.010)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.4900150Z,10.211,102,"(-0.107,0.979,0.011)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:10.5900440Z,10.322,103,"(-0.112,0.988,0.009)",LocomotionStop,,,grip locomotion stopped
